"{""follow_request_sent"": false, ""has_extended_profile"": false, ""profile_use_background_image"": true, ""profile_text_color"": ""333333"", ""default_profile_image"": true, ""id"": 705548276167254016, ""profile_background_image_url_https"": null, ""verified"": false, ""imported_to_gensim"": false, ""profile_location"": {""full_name"": ""Florida, USA"", ""url"": ""https://api.twitter.com/1.1/geo/id/4ec01c9dbc693497.json"", ""country"": """", ""place_type"": ""unknown"", ""bounding_box"": null, ""contained_within"": [], ""country_code"": """", ""attributes"": {}, ""id"": ""4ec01c9dbc693497"", ""name"": ""Florida, USA""}, ""profile_image_url_https"": ""https://abs.twimg.com/sticky/default_profile_images/default_profile_0_normal.png"", ""profile_sidebar_fill_color"": ""DDEEF6"", ""entities"": {""description"": {""urls"": []}}, ""followers_count"": 95, ""profile_sidebar_border_color"": ""C0DEED"", ""id_str"": ""705548276167254016"", ""profile_background_color"": ""F5F8FA"", ""listed_count"": 17, ""status"": {""contributors"": null, ""truncated"": false, ""text"": ""RT @LindaSuhler: Indiana For Trump: 'Obama has DECIMATED the coal industry..'\n\u2714\ufe0fVOTE #Trump2016 #Indiana\n#INPrimary\n#IndianaPrimary https:/\u2026"", ""is_quote_status"": false, ""in_reply_to_status_id"": null, ""id"": 726990570560868352, ""favorite_count"": 0, ""source"": ""<a href=\""http://twitter.com/download/android\"" rel=\""nofollow\"">Twitter for Android</a>"", ""retweeted"": false, ""coordinates"": null, ""entities"": {""symbols"": [], ""user_mentions"": [{""id"": 347627434, ""indices"": [3, 15], ""id_str"": ""347627434"", ""screen_name"": ""LindaSuhler"", ""name"": ""Linda Suhler, Ph.D.""}], ""hashtags"": [{""indices"": [85, 95], ""text"": ""Trump2016""}, {""indices"": [96, 104], ""text"": ""Indiana""}, {""indices"": [105, 115], ""text"": ""INPrimary""}, {""indices"": [116, 131], ""text"": ""IndianaPrimary""}], ""urls"": [], ""media"": [{""source_user_id"": 347627434, ""source_status_id_str"": ""726380913471442944"", ""expanded_url"": ""http://twitter.com/LindaSuhler/status/726380913471442944/photo/1"", ""display_url"": ""pic.twitter.com/zWB2rgUt7r"", ""url"": ""https://t.co/zWB2rgUt7r"", ""media_url_https"": ""https://pbs.twimg.com/media/ChSfl4eUcAAQpg8.jpg"", ""source_user_id_str"": ""347627434"", ""source_status_id"": 726380913471442944, ""id_str"": ""726380913077022720"", ""sizes"": {""large"": {""h"": 405, ""resize"": ""fit"", ""w"": 600}, ""small"": {""h"": 230, ""resize"": ""fit"", ""w"": 340}, ""medium"": {""h"": 405, ""resize"": ""fit"", ""w"": 600}, ""thumb"": {""h"": 150, ""resize"": ""crop"", ""w"": 150}}, ""indices"": [139, 140], ""type"": ""photo"", ""id"": 726380913077022720, ""media_url"": ""http://pbs.twimg.com/media/ChSfl4eUcAAQpg8.jpg""}]}, ""in_reply_to_screen_name"": null, ""in_reply_to_user_id"": null, ""retweet_count"": 700, ""id_str"": ""726990570560868352"", ""favorited"": false, ""retweeted_status"": {""contributors"": null, ""truncated"": false, ""text"": ""Indiana For Trump: 'Obama has DECIMATED the coal industry..'\n\u2714\ufe0fVOTE #Trump2016 #Indiana\n#INPrimary\n#IndianaPrimary https://t.co/zWB2rgUt7r"", ""is_quote_status"": false, ""in_reply_to_status_id"": null, ""id"": 726380913471442944, ""favorite_count"": 702, ""source"": ""<a href=\""http://www.hootsuite.com\"" rel=\""nofollow\"">Hootsuite</a>"", ""retweeted"": false, ""coordinates"": null, ""entities"": {""symbols"": [], ""user_mentions"": [], ""hashtags"": [{""indices"": [68, 78], ""text"": ""Trump2016""}, {""indices"": [79, 87], ""text"": ""Indiana""}, {""indices"": [88, 98], ""text"": ""INPrimary""}, {""indices"": [99, 114], ""text"": ""IndianaPrimary""}], ""urls"": [], ""media"": [{""expanded_url"": ""http://twitter.com/LindaSuhler/status/726380913471442944/photo/1"", ""display_url"": ""pic.twitter.com/zWB2rgUt7r"", ""url"": ""https://t.co/zWB2rgUt7r"", ""media_url_https"": ""https://pbs.twimg.com/media/ChSfl4eUcAAQpg8.jpg"", ""id_str"": ""726380913077022720"", ""sizes"": {""large"": {""h"": 405, ""resize"": ""fit"", ""w"": 600}, ""small"": {""h"": 230, ""resize"": ""fit"", ""w"": 340}, ""medium"": {""h"": 405, ""resize"": ""fit"", ""w"": 600}, ""thumb"": {""h"": 150, ""resize"": ""crop"", ""w"": 150}}, ""indices"": [115, 138], ""type"": ""photo"", ""id"": 726380913077022720, ""media_url"": ""http://pbs.twimg.com/media/ChSfl4eUcAAQpg8.jpg""}]}, ""in_reply_to_screen_name"": null, ""in_reply_to_user_id"": null, ""retweet_count"": 700, ""id_str"": ""726380913471442944"", ""favorited"": false, ""geo"": null, ""in_reply_to_user_id_str"": null, ""possibly_sensitive"": false, ""lang"": ""en"", ""created_at"": ""Sat Apr 30 12:01:19 +0000 2016"", ""in_reply_to_status_id_str"": null, ""place"": null, ""extended_entities"": {""media"": [{""expanded_url"": ""http://twitter.com/LindaSuhler/status/726380913471442944/photo/1"", ""display_url"": ""pic.twitter.com/zWB2rgUt7r"", ""url"": ""https://t.co/zWB2rgUt7r"", ""media_url_https"": ""https://pbs.twimg.com/media/ChSfl4eUcAAQpg8.jpg"", ""id_str"": ""726380913077022720"", ""sizes"": {""large"": {""h"": 405, ""resize"": ""fit"", ""w"": 600}, ""small"": {""h"": 230, ""resize"": ""fit"", ""w"": 340}, ""medium"": {""h"": 405, ""resize"": ""fit"", ""w"": 600}, ""thumb"": {""h"": 150, ""resize"": ""crop"", ""w"": 150}}, ""indices"": [115, 138], ""type"": ""photo"", ""id"": 726380913077022720, ""media_url"": ""http://pbs.twimg.com/media/ChSfl4eUcAAQpg8.jpg""}]}}, ""geo"": null, ""in_reply_to_user_id_str"": null, ""possibly_sensitive"": false, ""lang"": ""en"", ""created_at"": ""Mon May 02 04:23:53 +0000 2016"", ""in_reply_to_status_id_str"": null, ""place"": null, ""extended_entities"": {""media"": [{""source_user_id"": 347627434, ""source_status_id_str"": ""726380913471442944"", ""expanded_url"": ""http://twitter.com/LindaSuhler/status/726380913471442944/photo/1"", ""display_url"": ""pic.twitter.com/zWB2rgUt7r"", ""url"": ""https://t.co/zWB2rgUt7r"", ""media_url_https"": ""https://pbs.twimg.com/media/ChSfl4eUcAAQpg8.jpg"", ""source_user_id_str"": ""347627434"", ""source_status_id"": 726380913471442944, ""id_str"": ""726380913077022720"", ""sizes"": {""large"": {""h"": 405, ""resize"": ""fit"", ""w"": 600}, ""small"": {""h"": 230, ""resize"": ""fit"", ""w"": 340}, ""medium"": {""h"": 405, ""resize"": ""fit"", ""w"": 600}, ""thumb"": {""h"": 150, ""resize"": ""crop"", ""w"": 150}}, ""indices"": [139, 140], ""type"": ""photo"", ""id"": 726380913077022720, ""media_url"": ""http://pbs.twimg.com/media/ChSfl4eUcAAQpg8.jpg""}]}}, ""is_translation_enabled"": false, ""utc_offset"": null, ""statuses_count"": 2196, ""description"": ""Retired.  Born & raised in NYC. Wife, Mother. Grandma, Great Grandma, Photographer. Love driving my Mustang Convertible. Enjoy my 2nd Amend. Trump 2016!"", ""friends_count"": 80, ""location"": ""Florida, USA"", ""profile_link_color"": ""2B7BB9"", ""profile_image_url"": ""http://abs.twimg.com/sticky/default_profile_images/default_profile_0_normal.png"", ""following"": false, ""geo_enabled"": false, ""profile_background_image_url"": null, ""name"": ""Angie D"", ""lang"": ""en"", ""profile_background_tile"": false, ""favourites_count"": 3390, ""screen_name"": ""Adee2002"", ""notifications"": false, ""url"": null, ""created_at"": ""Fri Mar 04 00:19:52 +0000 2016"", ""contributors_enabled"": false, ""time_zone"": null, ""protected"": false, ""default_profile"": true, ""is_translator"": false}"
@cwllwc @verbotenideen @exposeliberals  They dont like it there.
@exposeliberals  Good-more reason to vote 4 Trump. AMERICA FIRST.
@DanScavino  Wow a delussional liar and a VP that laid off ppl and sent thise jobs out of USA -AMERICA FIRST
@veganvecoh @JaredWyand @vine  WTH was that hand thing all about?
@realDonaldTrump Your type of government us what we are fighting against! Liars and cheaters that accomplish nothing!
@mitchellvii  Cruz didnt get anything done-typical establishment.
@mitchellvii  I dont know-this man is delussional Thinks hes winning picks a VP and she accepts a no job? Lyin'
@mitchellvii  Trump is honest-tells it like it is-Cruz is a liar has been is Eash accomplished NOTHING. 2 busy fighting for nothing.
@JaredWyand  Ca should not b that important-lots of illegals-wanna b actors-far from reality-they believe their shows &amp; movies r real life
