"{""follow_request_sent"": false, ""has_extended_profile"": true, ""profile_use_background_image"": true, ""profile_text_color"": ""333333"", ""default_profile_image"": false, ""id"": 4854641986, ""profile_background_image_url_https"": null, ""verified"": false, ""imported_to_gensim"": false, ""profile_location"": null, ""profile_image_url_https"": ""https://pbs.twimg.com/profile_images/716292733510557697/85ecY6jX_normal.jpg"", ""profile_sidebar_fill_color"": ""DDEEF6"", ""entities"": {""description"": {""urls"": []}}, ""followers_count"": 326, ""profile_sidebar_border_color"": ""C0DEED"", ""id_str"": ""4854641986"", ""profile_background_color"": ""F5F8FA"", ""listed_count"": 5, ""status"": {""contributors"": null, ""truncated"": false, ""text"": ""@RBRNet12 @USMCRet8106 @yankeebrit77 @kevinclennon @lesliermyers @peterdaou   How do you like this fact https://t.co/HT18rcE0aS"", ""is_quote_status"": false, ""in_reply_to_status_id"": 729343385979379713, ""id"": 729348270418448384, ""favorite_count"": 0, ""source"": ""<a href=\""http://twitter.com/download/android\"" rel=\""nofollow\"">Twitter for Android</a>"", ""retweeted"": false, ""coordinates"": null, ""entities"": {""symbols"": [], ""user_mentions"": [{""id"": 3949895836, ""indices"": [0, 9], ""id_str"": ""3949895836"", ""screen_name"": ""RBRNet12"", ""name"": ""Real Brother Radio""}, {""id"": 2572668578, ""indices"": [10, 22], ""id_str"": ""2572668578"", ""screen_name"": ""USMCRet8106"", ""name"": ""Husker""}, {""id"": 805092764, ""indices"": [23, 36], ""id_str"": ""805092764"", ""screen_name"": ""yankeebrit77"", ""name"": ""Whitey McPrivilege""}, {""id"": 23350290, ""indices"": [37, 50], ""id_str"": ""23350290"", ""screen_name"": ""kevinclennon"", ""name"": ""kevin lennon""}, {""id"": 3920426061, ""indices"": [51, 64], ""id_str"": ""3920426061"", ""screen_name"": ""lesliermyers"", ""name"": ""LeslieRMyers""}, {""id"": 18464266, ""indices"": [65, 75], ""id_str"": ""18464266"", ""screen_name"": ""peterdaou"", ""name"": ""Peter Daou""}], ""hashtags"": [], ""urls"": [], ""media"": [{""expanded_url"": ""http://twitter.com/AnthonyCortese8/status/729348270418448384/photo/1"", ""display_url"": ""pic.twitter.com/HT18rcE0aS"", ""url"": ""https://t.co/HT18rcE0aS"", ""media_url_https"": ""https://pbs.twimg.com/media/Ch8qYpPXIAAEZCv.jpg"", ""id_str"": ""729348267532820480"", ""sizes"": {""large"": {""h"": 398, ""resize"": ""fit"", ""w"": 249}, ""small"": {""h"": 398, ""resize"": ""fit"", ""w"": 249}, ""medium"": {""h"": 398, ""resize"": ""fit"", ""w"": 249}, ""thumb"": {""h"": 150, ""resize"": ""crop"", ""w"": 150}}, ""indices"": [104, 127], ""type"": ""photo"", ""id"": 729348267532820480, ""media_url"": ""http://pbs.twimg.com/media/Ch8qYpPXIAAEZCv.jpg""}]}, ""in_reply_to_screen_name"": ""RBRNet12"", ""in_reply_to_user_id"": 3949895836, ""retweet_count"": 0, ""id_str"": ""729348270418448384"", ""favorited"": false, ""geo"": null, ""in_reply_to_user_id_str"": ""3949895836"", ""possibly_sensitive"": false, ""lang"": ""en"", ""created_at"": ""Sun May 08 16:32:32 +0000 2016"", ""in_reply_to_status_id_str"": ""729343385979379713"", ""place"": null, ""extended_entities"": {""media"": [{""expanded_url"": ""http://twitter.com/AnthonyCortese8/status/729348270418448384/photo/1"", ""display_url"": ""pic.twitter.com/HT18rcE0aS"", ""url"": ""https://t.co/HT18rcE0aS"", ""media_url_https"": ""https://pbs.twimg.com/media/Ch8qYpPXIAAEZCv.jpg"", ""id_str"": ""729348267532820480"", ""sizes"": {""large"": {""h"": 398, ""resize"": ""fit"", ""w"": 249}, ""small"": {""h"": 398, ""resize"": ""fit"", ""w"": 249}, ""medium"": {""h"": 398, ""resize"": ""fit"", ""w"": 249}, ""thumb"": {""h"": 150, ""resize"": ""crop"", ""w"": 150}}, ""indices"": [104, 127], ""type"": ""photo"", ""id"": 729348267532820480, ""media_url"": ""http://pbs.twimg.com/media/Ch8qYpPXIAAEZCv.jpg""}]}}, ""is_translation_enabled"": false, ""utc_offset"": null, ""statuses_count"": 2304, ""description"": ""MAKE AMERICA GREAT AGAIN...TRUMP !!!"", ""friends_count"": 371, ""location"": ""New York City , USA !"", ""profile_link_color"": ""2B7BB9"", ""profile_image_url"": ""http://pbs.twimg.com/profile_images/716292733510557697/85ecY6jX_normal.jpg"", ""following"": false, ""geo_enabled"": false, ""profile_banner_url"": ""https://pbs.twimg.com/profile_banners/4854641986/1458416988"", ""profile_background_image_url"": null, ""name"": ""Anthony Cortese"", ""lang"": ""en"", ""profile_background_tile"": false, ""favourites_count"": 1347, ""screen_name"": ""AnthonyCortese8"", ""notifications"": false, ""url"": null, ""created_at"": ""Wed Jan 27 19:23:17 +0000 2016"", ""contributors_enabled"": false, ""time_zone"": null, ""protected"": false, ""default_profile"": true, ""is_translator"": false}"
@RBRNet12 @USMCRet8106 @yankeebrit77 @kevinclennon @lesliermyers @peterdaou   How do you like this fact https://t.co/HT18rcE0aS
@RBRNet12 @USMCRet8106 @yankeebrit77 @kevinclennon @lesliermyers @peterdaou https://t.co/PwVzKhjpkt
"@USMCRet8106 @RBRNet12 @yankeebrit77 @kevinclennon @lesliermyers ,@peterdaou   this guy is nuts. His entire world is black and white"
@RBRNet12 @yankeebrit77 @kevinclennon @lesliermyers @peterdaou  You need help. Your a very confused person.
"@RBRNet12 @yankeebrit77 @kevinclennon @lesliermyers @peterdaou  Your joking, right ? No one can be that dumb."
@LyndaG1963 @RBRNet12 @yankeebrit77 @kevinclennon @lesliermyers @peterdaou  That has too be a joke. No one is that dumb.
@thehill @YOUNGFiREBRAND   But when she ran against Obama she was clearly for the 2nd amendment. So who is the real Hillary ?
@Mathiasian @jplnnn   I can't wait for Trump to gat sworn in as president. Can't wait.
@StatesPoll  Why minorities support a candidate that guarantees future poverty is beyond comprehension. I just don't get it.
@USAneedsTRUMP @micah_micahk @realDonaldTrump   That's great. I'm sharing that one
@DesireeAaron  True. I knew a guy that came through Mex. From Guatemala. He said getting caught entering Mex. Illegally was very bad.
@ArcticFox2016   I want them to debate once a week just to see her suffer.
@Photogbill222 @infogovernor Clinton is already there
@R4Randall1 @DutraGale @DoloresGuilfoyl @JimNelli @TheCarbonator   And here's her horse. Indian needs a horse. https://t.co/yBj9UN2qdU
@R4Randall1 @DutraGale @DoloresGuilfoyl @JimNelli @TheCarbonator  go for it. Retreat the shit out of it
@DoloresGuilfoyl @JimNelli @TheCarbonator   Iieawatha ! https://t.co/O0vCNPVecI
@SpecialKMB1969 @SusanCoach4  Excellent !
@elizabethforma   That's right Pocahontas hold your ground ! https://t.co/BrebbDH5yc
@MarieLeff @BrittanyUSABoom @CNN @CBSPolitics  Just polygraph the criminal. Why listen to more of her lies ?
Cause every good Indian should have a horse https://t.co/GrigF1k51H
Princess Fukinmouth. https://t.co/kjknfumNKX
@audreyringrose @tvogvo https://t.co/BTF7xY0N4O
@amperg33 @realkingrobbo @Real_Estate_IM   That's a masterpiece. It should be on display at the metropolitan museum of art.
"@SlickEToffee @micah_micahk @elizabethforma @realDonaldTrump   Hillary , who says black people need her to get ahead in life is your racist"
@SlickEToffee @micah_micahk @elizabethforma @realDonaldTrump  The woman pretending to be an Indian for political purpose is the racist.
@DefendingtheUSA @Contumedia @TruthFeedNews   We'll just wait and see Wet back.
@farrightgregy   Please share the tweet that did it so we can all send it to him.
@Italians4Trump @NBCNews   This is going to be fun. Hillary is about to be called out before the world for  years of being a total scumbag
I was going to make a big breakfast but just lost my appetite. https://t.co/xOjwpPndSw
@rob_mcwaters @DonPhil69989944 @SenWarren    Since when does an Indian have blond hair and blue eyes ?
"https://t.co/c8XwNsd9jD.  Clinton loves this endorsement. Ok media , what about it ?"
@redletter99 @tvogvo @HillaryClinton @jamesplake721 @slone @TrumpFL   They will all flip and testify against her. None will do time for her.
"@DannyBo4455  sure it's OK. And by the way, that's the new Clinton campaign shirt he's wearing."
@EvilEsq https://t.co/89ySq1GQ7x
@gentlemanirish @WestJ Yet the Media wanted to talk about taco bowls at Obamas press conference yesterday. Not one question about this
@MichaelDelauzon @53kalevasJanice    That's nothing. Pelosi is growing an afro.
@andieiamwhoiam @younggopp  It doesn't really matter
@AngelOfficial @blackkoko @PamelaGeller  Don't worry folks. She is welcome to stay at my place.
@gentlemanirish @OddNewsUPI @UPI    Sounds cool. I'm gonna go see that.
@Madamtazzz @happkat @JustDonPerla  Stuffs millions of dollars into her foundation but I have never heard of any donations made by it.
I love the way lefty Clinton and Sanders supporters on Twitter target me immediately call me  racist and other names then block me.
@QueenKika @CarriWeatherwax   What racist ?
@QueenKika @CarriWeatherwax  He became wonderful ? No . he learned to hide it.
@CarriWeatherwax @washingtonpost   Trumps not racist. I'm not racist.
@lewbud88  I showed it to a pro Clinton black man I work with. He looked into. Found out more shit about her. He is now for Trump. Success !
@Iowa4BS_2016 @JeanetteJing @moonraker690   As if any patriotic American would support socialism. Please !
@cyseville @JeanetteJing @moonraker690   I believe she is without conscience. A sociopath.
"@_AJBasso @JeanetteJing @moonraker690    Yeah , I misspoke to my wife a few times. Now I live alone."
@JeanetteJing @moonraker690   She laughs off all the disgraceful shit she does.  As if your an asshole for even bringing it up.
@TedTheZodiac @Robbo1992x  His wife and kids better get the fuck out of there.
Live on fox now : Obama repeating trumps concerns about infrastructure word for word. Now he cares. He also blames GOP for lack of repairs
@PhxKen @LRbullies  so do I but I can't afford health care for it.
@HillaryClinton https://t.co/ly8UrViyHO
@HillaryClinton  Hillary would pimp out Chelsea at a NYC housing project for a vote. She is vile .
"@hedgemastermb @ErinBSullivan @HouseCracka   By the way , most major employers now offer part time jobs only due to Obama care."
@Gop42016 @sachsau1 @keichri  I guess our commander and chimp wouldn't mind me sharing a public bathroom with his daughters.
"@Mishimoto  that's a great car , but it's a couple of steps behind the cobra coup in my book."
@realDonaldTrump  you will destroy her Donald
@MiltonFriendfan @TheChuckMo @FAIRImmigration   We need to close our borders for all immigration  until it can be properly controlled again.
