"{""follow_request_sent"": false, ""has_extended_profile"": false, ""profile_use_background_image"": true, ""profile_text_color"": ""333333"", ""default_profile_image"": false, ""id"": 125279726, ""profile_background_image_url_https"": ""https://pbs.twimg.com/profile_background_images/726528335258353665/F8oRdyc2.jpg"", ""verified"": false, ""imported_to_gensim"": false, ""profile_location"": null, ""profile_image_url_https"": ""https://pbs.twimg.com/profile_images/725690313285603329/6uSYxENi_normal.jpg"", ""profile_sidebar_fill_color"": ""F6FFD1"", ""entities"": {""description"": {""urls"": []}}, ""followers_count"": 5282, ""profile_sidebar_border_color"": ""000000"", ""id_str"": ""125279726"", ""profile_background_color"": ""FFFFFF"", ""listed_count"": 129, ""status"": {""contributors"": null, ""truncated"": false, ""text"": ""\u30ca\u30a4\u30b8\u30a7\u30ea\u30a2\u306e\u72ec\u7acb\u306b\u4f34\u3046100\u4e07\u4eba\u306e\u5b64\u5150 - sbt\u306e\u30d6\u30ed\u30b0 https://t.co/7TFQ226O0s"", ""is_quote_status"": false, ""in_reply_to_status_id"": null, ""id"": 726990862136152065, ""favorite_count"": 0, ""source"": ""<a href=\""http://twitter.com/download/iphone\"" rel=\""nofollow\"">Twitter for iPhone</a>"", ""retweeted"": false, ""coordinates"": null, ""entities"": {""symbols"": [], ""user_mentions"": [], ""hashtags"": [], ""urls"": [{""url"": ""https://t.co/7TFQ226O0s"", ""indices"": [31, 54], ""expanded_url"": ""http://sbt.hatenadiary.com/entry/2016/05/02/132448"", ""display_url"": ""sbt.hatenadiary.com/entry/2016/05/\u2026""}]}, ""in_reply_to_screen_name"": null, ""in_reply_to_user_id"": null, ""retweet_count"": 0, ""id_str"": ""726990862136152065"", ""favorited"": false, ""geo"": null, ""in_reply_to_user_id_str"": null, ""possibly_sensitive"": false, ""lang"": ""ja"", ""created_at"": ""Mon May 02 04:25:03 +0000 2016"", ""in_reply_to_status_id_str"": null, ""place"": null}, ""is_translation_enabled"": false, ""utc_offset"": 32400, ""statuses_count"": 74515, ""description"": """", ""friends_count"": 5252, ""location"": """", ""profile_link_color"": ""FFFFFF"", ""profile_image_url"": ""http://pbs.twimg.com/profile_images/725690313285603329/6uSYxENi_normal.jpg"", ""following"": false, ""geo_enabled"": true, ""profile_banner_url"": ""https://pbs.twimg.com/profile_banners/125279726/1447259844"", ""profile_background_image_url"": ""http://pbs.twimg.com/profile_background_images/726528335258353665/F8oRdyc2.jpg"", ""name"": ""\u67f4\u7530"", ""lang"": ""ja"", ""profile_background_tile"": true, ""favourites_count"": 13480, ""screen_name"": ""sbter79"", ""notifications"": false, ""url"": null, ""created_at"": ""Mon Mar 22 08:59:04 +0000 2010"", ""contributors_enabled"": false, ""time_zone"": ""Tokyo"", ""protected"": false, ""default_profile"": false, ""is_translator"": false}"
ナイジェリアの独立に伴う100万人の孤児 - sbtのブログ https://t.co/7TFQ226O0s
أستغفر الله العظيم وأتوب إليه https://t.co/E1T0DNE9tY
@hiroeritakahito これおまえにつくってやったの。 https://t.co/2FLhpJNuES
أذكار الأذان:اللهم رب هذه الدعوة التامة والصلاة القائم https://t.co/E1T0DNE9tY
@hiroeritakahito @sbter0 @sbter1 @Sbter17 @Sbter2 @Sbter3 @Sbter5 @sbter6 @sbter7 @Sbter74 @sbter8 @ok847 @hameji54 @oboister 見てもない。なんて？？
エネルギーとしては地縛霊とか恨みとか、そういう類だと思います。同じ時間の中にタイムラグがある。その中に行ってしまうんですね。恨みとか。自分で行くなら良いけど他人から恨まれると困りもの。これは大丈夫です。人体には。本来撮影禁止。 https://t.co/M20NC8uXuz
"映像スキマ 

これが一台のスマホとテレビを使って今撮った、合わせ鏡の中の無限と似た、人間が行くことのできない次元です。

 https://t.co/xabZif1eiI"
اللهم اكفني بحلالك عن حرامك وأغنني بفضلك عن سواك https://t.co/E1T0DNE9tY
"اللهم اجمعنا مع من علقت قلوبنا به برحمتك 
يا عفو يا قدير يا قريب يا مجيب
#غرد_لي_بالخير
https://t.co/xAeXfHhUlY"
دعاء الرفع من الركوع:ربنا ولك الحمد حمداً كثيراً طيباً مباركاً فيه https://t.co/E1T0DNE9tY
اللهم قني عذابك يوم تبعث عبادك https://t.co/E1T0DNE9tY
لا إله إلا الله وحده لا شريك له له الملك وله الحمد يحيي ويميت وهو على كل شئ قدير https://t.co/E1T0DNE9tY
اللهم إني أسألك علماً نافعاً ورزقاً طيباً وعملاً متقبلاً https://t.co/E1T0DNE9tY
دعاء السجود:سبحانك اللهم ربنا وبحمدك اللهم اغفر لي https://t.co/E1T0DNE9tY
لا إله إلا الله الواحد القهار ربُّ السموات والأرض وما بينهما العزيز الغفار https://t.co/E1T0DNE9tY
"سُبْحَانَ اللهِ وَبِحَمْدِهِ
عَدَدَ خَلْقِهِ
وَرِضَا نَفْسِهِ
وزنَة عَرْشِهِ
وَمِدَادَ كَلِمَاتِه
#غرد_لي_بالخير
https://t.co/xAeXfHhUlY"
You have to risk going too far to discover just how far you can really go. -Jim Rohn #quote
اللهم رحمتك أرجو فلا تكلني إلى نفسي طرفة عين ِ وأصلح لي شأني كله لا إله إلا أنت https://t.co/E1T0DNE9tY
https://t.co/vfhs8mNCQ4
أذكار الأذان:اللهم رب هذه الدعوة التامة والصلاة القائم https://t.co/E1T0DNE9tY
People lose their way when they lose their why.- Michael Hyatt #quote
دعاء الجلسة بين السجدتين:رب اغفر لي رب اغفر لي https://t.co/E1T0DNE9tY
اللّهُـمَّ عافِـني في بَدَنـي ، اللّهُـمَّ عافِـني في سَمْـعي ، اللّهُـمَّ عافِـني في بَصَـري ، لا إلهَ إلاّ أَنْـتَ https://t.co/E1T0DNE9tY
دعاء لبس الثوب الجديد:اللهم لك الحمد أنت كسوتنيه أسألك من خيره وخير ما صنع له وأعوذ بك من شره وشر ما صنع له https://t.co/E1T0DNE9tY
@hiroeritakahito どうでもいい
@hiroeritakahito わかんねーよ
@hiroeritakahito 遊ばれてもいない。あそんでるのは、買ってもらった競パンです。うちで、やる必要はない。
@hiroeritakahito なんだよこれ。嫌がらせか？
@hiroeritakahito アホか。競パンであそんでるだけだ。俺は必要ない。
@hiroeritakahito 殺してくれるなら、いいよ。それ以外に用はない。
@hiroeritakahito なんだい？
@hiroeritakahito なんて雑な点を文字の中にいれられるんだ？おまえは。
@hiroeritakahito 妬んでる？妬んでないよ。耳元で呟くかあのボケが。
@hiroeritakahito 残念だね。好きにすれば良い。そういう事を呟かれることを、知っていて隠れてるんだろ？もうそれ時点で気持ちも冷めるわ。冷めた上にそんな話をきかされてウンザリする。嘘だとしても、それでタスクをこなすとしても、先は見えてる。僕はそういう人だ。、
@hiroeritakahito それは愛し合っていないよ。何を意識してるのか、気がついたの。ビデオを見ていて。知ってるかい？
